D:\IMG\center_2022_06_08_23_50_23_835.jpg,D:\IMG\left_2022_06_08_23_50_23_835.jpg,D:\IMG\right_2022_06_08_23_50_23_835.jpg,0,0,0,5.196667E-07
D:\IMG\center_2022_06_08_23_50_23_910.jpg,D:\IMG\left_2022_06_08_23_50_23_910.jpg,D:\IMG\right_2022_06_08_23_50_23_910.jpg,0,0,0,1.074897E-05
D:\IMG\center_2022_06_08_23_50_23_982.jpg,D:\IMG\left_2022_06_08_23_50_23_982.jpg,D:\IMG\right_2022_06_08_23_50_23_982.jpg,0,0,0,4.298026E-06
D:\IMG\center_2022_06_08_23_50_24_055.jpg,D:\IMG\left_2022_06_08_23_50_24_055.jpg,D:\IMG\right_2022_06_08_23_50_24_055.jpg,0,0,0,1.716151E-06
D:\IMG\center_2022_06_08_23_50_24_129.jpg,D:\IMG\left_2022_06_08_23_50_24_129.jpg,D:\IMG\right_2022_06_08_23_50_24_129.jpg,0,0,0,1.811432E-06
D:\IMG\center_2022_06_08_23_50_24_203.jpg,D:\IMG\left_2022_06_08_23_50_24_203.jpg,D:\IMG\right_2022_06_08_23_50_24_203.jpg,0,0,0,7.122032E-06
D:\IMG\center_2022_06_08_23_50_24_277.jpg,D:\IMG\left_2022_06_08_23_50_24_277.jpg,D:\IMG\right_2022_06_08_23_50_24_277.jpg,0,0,0,9.186528E-06
D:\IMG\center_2022_06_08_23_50_24_351.jpg,D:\IMG\left_2022_06_08_23_50_24_351.jpg,D:\IMG\right_2022_06_08_23_50_24_351.jpg,0,0,0,7.174622E-07
D:\IMG\center_2022_06_08_23_50_24_425.jpg,D:\IMG\left_2022_06_08_23_50_24_425.jpg,D:\IMG\right_2022_06_08_23_50_24_425.jpg,0,0,0,3.2516E-06
D:\IMG\center_2022_06_08_23_50_24_497.jpg,D:\IMG\left_2022_06_08_23_50_24_497.jpg,D:\IMG\right_2022_06_08_23_50_24_497.jpg,0,0,0,2.148611E-06
D:\IMG\center_2022_06_08_23_50_24_571.jpg,D:\IMG\left_2022_06_08_23_50_24_571.jpg,D:\IMG\right_2022_06_08_23_50_24_571.jpg,0,0,0,6.9975E-06
D:\IMG\center_2022_06_08_23_50_24_644.jpg,D:\IMG\left_2022_06_08_23_50_24_644.jpg,D:\IMG\right_2022_06_08_23_50_24_644.jpg,0,0,0,1.467019E-05
D:\IMG\center_2022_06_08_23_50_24_718.jpg,D:\IMG\left_2022_06_08_23_50_24_718.jpg,D:\IMG\right_2022_06_08_23_50_24_718.jpg,0,0,0,5.92607E-06
D:\IMG\center_2022_06_08_23_50_24_797.jpg,D:\IMG\left_2022_06_08_23_50_24_797.jpg,D:\IMG\right_2022_06_08_23_50_24_797.jpg,0,0.0729336,0,0.01334265
D:\IMG\center_2022_06_08_23_50_24_865.jpg,D:\IMG\left_2022_06_08_23_50_24_865.jpg,D:\IMG\right_2022_06_08_23_50_24_865.jpg,0,0.2895258,0,0.1967993
D:\IMG\center_2022_06_08_23_50_24_941.jpg,D:\IMG\left_2022_06_08_23_50_24_941.jpg,D:\IMG\right_2022_06_08_23_50_24_941.jpg,0,0.5138637,0,0.5828069
D:\IMG\center_2022_06_08_23_50_25_014.jpg,D:\IMG\left_2022_06_08_23_50_25_014.jpg,D:\IMG\right_2022_06_08_23_50_25_014.jpg,0,0.7369776,0,1.236755
D:\IMG\center_2022_06_08_23_50_25_086.jpg,D:\IMG\left_2022_06_08_23_50_25_086.jpg,D:\IMG\right_2022_06_08_23_50_25_086.jpg,0,0.9552582,0,1.829485
D:\IMG\center_2022_06_08_23_50_25_160.jpg,D:\IMG\left_2022_06_08_23_50_25_160.jpg,D:\IMG\right_2022_06_08_23_50_25_160.jpg,0,1,0,2.798217
D:\IMG\center_2022_06_08_23_50_25_234.jpg,D:\IMG\left_2022_06_08_23_50_25_234.jpg,D:\IMG\right_2022_06_08_23_50_25_234.jpg,0,1,0,3.734756
